[Fri Apr 06 14:01:34 2012] [error] [client 127.0.0.1] PHP Parse error:  syntax error, unexpected ':' in /var/sites/lol/php/includes/Resource/Matches.php on line 66, referer: http://lan/app
[Fri Apr 06 14:01:44 2012] [error] [client 127.0.0.1] PHP Parse error:  syntax error, unexpected ':' in /var/sites/lol/php/includes/Resource/Matches.php on line 66, referer: http://lan/app
[Fri Apr 06 14:01:54 2012] [error] [client 127.0.0.1] PHP Parse error:  syntax error, unexpected ':' in /var/sites/lol/php/includes/Resource/Matches.php on line 66, referer: http://lan/app
[Fri Apr 06 14:02:04 2012] [error] [client 127.0.0.1] PHP Parse error:  syntax error, unexpected ':' in /var/sites/lol/php/includes/Resource/Matches.php on line 66, referer: http://lan/app
[Fri Apr 06 14:02:14 2012] [error] [client 127.0.0.1] PHP Parse error:  syntax error, unexpected ':' in /var/sites/lol/php/includes/Resource/Matches.php on line 66, referer: http://lan/app
[Fri Apr 06 14:02:24 2012] [error] [client 127.0.0.1] PHP Parse error:  syntax error, unexpected ':' in /var/sites/lol/php/includes/Resource/Matches.php on line 66, referer: http://lan/app
[Fri Apr 06 14:02:34 2012] [error] [client 127.0.0.1] PHP Parse error:  syntax error, unexpected ':' in /var/sites/lol/php/includes/Resource/Matches.php on line 66, referer: http://lan/app
[Fri Apr 06 14:02:44 2012] [error] [client 127.0.0.1] PHP Parse error:  syntax error, unexpected ':' in /var/sites/lol/php/includes/Resource/Matches.php on line 66, referer: http://lan/app
[Fri Apr 06 14:02:54 2012] [error] [client 127.0.0.1] PHP Parse error:  syntax error, unexpected ':' in /var/sites/lol/php/includes/Resource/Matches.php on line 66, referer: http://lan/app
[Fri Apr 06 14:03:04 2012] [error] [client 127.0.0.1] PHP Parse error:  syntax error, unexpected ':' in /var/sites/lol/php/includes/Resource/Matches.php on line 66, referer: http://lan/app
[Fri Apr 06 14:03:14 2012] [error] [client 127.0.0.1] PHP Parse error:  syntax error, unexpected ':' in /var/sites/lol/php/includes/Resource/Matches.php on line 66, referer: http://lan/app
[Fri Apr 06 14:03:24 2012] [error] [client 127.0.0.1] PHP Parse error:  syntax error, unexpected ':' in /var/sites/lol/php/includes/Resource/Matches.php on line 66, referer: http://lan/app
[Fri Apr 06 14:03:34 2012] [error] [client 127.0.0.1] PHP Parse error:  syntax error, unexpected ':' in /var/sites/lol/php/includes/Resource/Matches.php on line 66, referer: http://lan/app
[Fri Apr 06 14:03:44 2012] [error] [client 127.0.0.1] PHP Parse error:  syntax error, unexpected ':' in /var/sites/lol/php/includes/Resource/Matches.php on line 66, referer: http://lan/app
